flat,mrt,mrt_dist,num_mrt_2km
366A SEMBAWANG CRES,SEMBAWANG MRT STATION,0.720766110276733,3
508B WELLINGTON CIRCLE,SEMBAWANG MRT STATION,0.406625362367647,2
441 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.6694021986844991,4
178C RIVERVALE CRES,BAKAU LRT STATION,0.5877063212586653,15
997C BUANGKOK CRES,TONGKANG LRT STATION,0.6332027685345256,13
698C HOUGANG ST 52,HOUGANG MRT STATION,0.6386283690158079,9
117 CLEMENTI ST 13,CLEMENTI MRT STATION,1.2374671393991106,4
150 BT BATOK ST 11,BUKIT BATOK MRT STATION,0.6590914129778096,5
194 BISHAN ST 13,BISHAN MRT STATION,0.41776835752128055,7
28 CASSIA CRES,MOUNTBATTEN MRT STATION,0.32361215597718856,9
106 BEDOK RESERVOIR RD,KAKI BUKIT MRT STATION,0.613410241634448,5
545 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.8316400301059189,2
988B BUANGKOK GREEN,FERNVALE LRT STATION,1.331707010338598,7
406 SIN MING AVE,MARYMOUNT MRT STATION,1.682245629975308,2
112 BEDOK RESERVOIR RD,KAKI BUKIT MRT STATION,0.6261663621492668,5
725 YISHUN ST 71,YISHUN MRT STATION,0.551383400629725,3
326 SEMBAWANG CRES,SEMBAWANG MRT STATION,0.4687053569682003,2
269B QUEEN ST,BUGIS MRT STATION,0.2489504727005899,26
190B RIVERVALE DR,COMPASSVALE LRT STATION,0.2150722577668864,25
679B PUNGGOL DR,DAMAI LRT STATION,0.12036920705527958,19
705 YISHUN AVE 5,YISHUN MRT STATION,0.6124839714663944,3
518 WOODLANDS DR 14,WOODLANDS MRT STATION,0.4556107672347763,6
405 BT BATOK WEST AVE 7,BUKIT GOMBAK MRT STATION,1.0609339083443072,5
412 BEDOK NTH AVE 2,BEDOK MRT STATION,0.6006551300174808,5
117 YISHUN RING RD,CANBERRA MRT STATION,0.8630931487037067,3
226 SIMEI ST 4,SIMEI MRT STATION,0.4155336424245599,6
145 TAMPINES ST 12,TAMPINES MRT STATION,0.5222485566641144,6
49 STRATHMORE AVE,QUEENSTOWN MRT STATION,0.27452509596962815,3
307 SERANGOON AVE 2,LORONG CHUAN MRT STATION,0.46605356889432814,5
